anio,precio,kilometraje,transmision,combustible
2024.0,37490.0,35600.0,Automática,Otros
2017.0,22900.0,52362.0,Automática,Gasolina
2016.0,15900.0,113237.0,Automática,Gasolina
2017.0,26900.0,58000.0,Automática,Gasolina
2016.0,13900.0,59000.0,Automática,Gasolina
2009.0,13900.0,123113.0,Automática,Gasolina
2012.0,12900.0,72670.0,Automática,Gasolina
2021.0,37900.0,61628.0,Automática - Secuencial,Gasolina
2022.0,44900.0,27000.0,Automática - Secuencial,Gasolina
2015.0,23500.0,117329.0,Automática - Secuencial,Otros
2017.0,18990.0,90597.0,Automática,Gasolina
2023.0,42490.0,14000.0,Automática,Otros
2022.0,23900.0,66000.0,Automática,Gasolina
2024.0,31200.0,22000.0,Automática,Gasolina
2013.0,19490.0,77000.0,Automática,Gasolina
2014.0,14750.0,55000.0,Automática - Secuencial,Gasolina
2022.0,43000.0,78866.0,Automática - Secuencial,Otros
2023.0,38500.0,37181.0,Automática,Gasolina
2018.0,9900.0,43500.0,Mecánica,Gasolina
2008.0,15000.0,31763.0,Automática,Gasolina
2017.0,26900.0,57000.0,Automática,Gasolina
2017.0,19900.0,45812.0,Automática,Gasolina
2025.0,30900.0,9713.0,Automática,Otros
2026.0,31800.0,1080.0,Automática - Secuencial,Gasolina
2022.0,31500.0,27118.0,Mecánica,Otros
2020.0,13900.0,120600.0,Automática,Otros
2023.0,36900.0,22861.0,Automática,Gasolina
2020.0,44900.0,44000.0,Automática - Secuencial,Gasolina
2020.0,23900.0,76000.0,Automática - Secuencial,Gasolina
2020.0,44900.0,72743.0,Automática,Gasolina
2017.0,16900.0,62000.0,Automática - Secuencial,Gasolina
2020.0,22900.0,45000.0,Automática,Gasolina
2018.0,32990.0,70000.0,Automática,Gasolina
2018.0,43990.0,41500.0,Automática - Secuencial,Gasolina
2022.0,18900.0,35452.0,Automática,Gasolina
2015.0,35900.0,45300.0,Automática,Gasolina
2017.0,18900.0,61984.0,Automática,Gasolina
2019.0,29900.0,61928.0,Automática - Secuencial,Gasolina
2021.0,34900.0,42700.0,Automática,Gasolina
2022.0,13900.0,31600.0,Automática,Gasolina
2018.0,29990.0,53700.0,Automática,Gasolina
2018.0,17900.0,30222.0,Automática,Gasolina
2023.0,22000.0,25303.0,Automática - Secuencial,Gasolina
2025.0,28900.0,20500.0,Automática - Secuencial,Gasolina
2021.0,16900.0,61500.0,Mecánica,Gasolina
2022.0,22900.0,34300.0,Mecánica,Otros
2021.0,27900.0,63282.0,Automática - Secuencial,Gasolina
2017.0,24900.0,92439.0,Automática,Gasolina
2020.0,13900.0,31000.0,Mecánica,Gasolina
2025.0,32900.0,10400.0,Automática,Gasolina
2017.0,27990.0,89740.0,Automática,Gasolina
2020.0,36900.0,78855.0,Automática - Secuencial,Gasolina
2025.0,26900.0,48.0,Automática,Otros
2022.0,21990.0,37000.0,Automática,Gasolina
2022.0,19900.0,70000.0,Mecánica,Otros
2025.0,19900.0,52.0,Automática,Gasolina
2019.0,19900.0,45416.0,Automática,Gasolina
2023.0,19990.0,35000.0,Automática - Secuencial,Gasolina
2020.0,15900.0,47069.0,Mecánica,Otros
2022.0,16990.0,69700.0,Mecánica,Gasolina
2020.0,25900.0,85464.0,Automática,Gasolina
2025.0,25990.0,15.0,Automática,Gasolina
2024.0,28500.0,41300.0,Automática - Secuencial,Gasolina
2016.0,33000.0,58694.0,Automática,Gasolina
2025.0,32500.0,7000.0,Automática - Secuencial,Gasolina
2015.0,13900.0,78730.0,Automática - Secuencial,Gasolina
