url_anuncio,imagen_auto,marca,titulo,anio,precio,kilometraje,transmision,combustible
https://neoauto.com/auto/seminuevo/volvo-xc-40-2024-1868902,https://cdn.neoauto.com/elements/autos_usados/360x240/518808/518808_7979571.webp,Volvo,Volvo Xc-40 2024,2024,"US$37,490","35,600 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/peugeot-5008-2017-1864806,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_2619605.webp,Peugeot,Peugeot 5008 2017,2017,"US$22,900","52,362 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/porsche-cayenne-2023-1865519,https://cdn.neoauto.com/elements/autos_usados/360x240/118694/118694_2170535.webp,Porsche,Porsche Cayenne 2023,2023,"US$82,900","26,196 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/audi-q3-2016-1866737,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6455224.webp,Audi,Audi Q3 2016,2016,"US$15,900","113,237 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-gle-400-4matic-2017-1869195,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2036607.webp,Mercedes-Benz,Mercedes-Benz Gle 400 4matic 2017,2017,"US$26,900","58,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volvo-s60-2016-1868765,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_3604386.webp,Volvo,Volvo S60 2016,2016,"US$13,900","59,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-e-350-2009-1865399,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_1196553.webp,Mercedes-Benz,Mercedes Benz E-350 2009,2009,"US$13,900","123,113 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-325-2012-1858866,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_3106667.webp,BMW,Bmw 325 2012,2012,"US$12,900","72,670 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-glc-200-2021-1866998,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_6229604.webp,Mercedes-Benz,Mercedes-Benz Glc 200 2021,2021,"US$37,900","61,628 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/bmw-330i-2022-1846434,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_4906539.webp,BMW,Bmw 330i 2022,2022,"US$44,900","27,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-amarok-2015-1783065,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_9666137.webp,Volkswagen,Volkswagen Amarok 2015,2015,"US$23,500","117,329 km",Automática - Secuencial,Diesel
https://neoauto.com/auto/seminuevo/audi-q5-2017-1855525,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_5953061.webp,Audi,Audi Q5 2017,2017,"US$18,990","90,597 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volvo-xc-40-2023-1868676,https://cdn.neoauto.com/elements/autos_usados/360x240/752061/752061_3246658.webp,Volvo,Volvo Xc-40 2023,2023,"US$42,490","14,000 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/mitsubishi-outlander-2022-1868286,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_1797823.webp,Mitsubishi,Mitsubishi Outlander 2022,2022,"US$23,900","66,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/hyundai-santa-fe-2024-1850900,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_9945309.webp,Hyundai,Hyundai Santa Fe 2024,2024,"US$31,200","22,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x5-2013-1868970,https://cdn.neoauto.com/elements/autos_usados/360x240/470963/470963_9734411.webp,BMW,Bmw X5 2013,2013,"US$19,490","77,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/audi-a3-sportback-2014-1864591,https://cdn.neoauto.com/elements/autos_usados/360x240/659946/659946_5431802.webp,Audi,Audi A3 Sportback 2014,2014,"US$14,750","55,000 km",Automática - Secuencial,Gasolina
