combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
1.0,1.0,0.0,0.0,2.024,3.749,0.356
0.0,1.0,0.0,0.0,2.017,2.29,0.52362
0.0,1.0,0.0,0.0,2.016,1.59,1.13237
0.0,1.0,0.0,0.0,2.017,2.69,0.58
0.0,1.0,0.0,0.0,2.016,1.39,0.59
0.0,1.0,0.0,0.0,2.009,1.39,1.23113
0.0,1.0,0.0,0.0,2.012,1.29,0.7267
0.0,0.0,1.0,0.0,2.021,3.79,0.61628
0.0,0.0,1.0,0.0,2.022,4.49,0.27
1.0,0.0,1.0,0.0,2.015,2.35,1.17329
0.0,1.0,0.0,0.0,2.017,1.899,0.90597
1.0,1.0,0.0,0.0,2.023,4.249,0.14
0.0,1.0,0.0,0.0,2.022,2.39,0.66
0.0,1.0,0.0,0.0,2.024,3.12,0.22
0.0,1.0,0.0,0.0,2.013,1.949,0.77
0.0,0.0,1.0,0.0,2.014,1.475,0.55
1.0,0.0,1.0,0.0,2.022,4.3,0.78866
0.0,1.0,0.0,0.0,2.023,3.85,0.37181
0.0,0.0,0.0,1.0,2.018,0.99,0.435
0.0,1.0,0.0,0.0,2.008,1.5,0.31763
0.0,1.0,0.0,0.0,2.017,2.69,0.57
0.0,1.0,0.0,0.0,2.017,1.99,0.45812
1.0,1.0,0.0,0.0,2.025,3.09,0.09713
0.0,0.0,1.0,0.0,2.026,3.18,0.0108
1.0,0.0,0.0,1.0,2.022,3.15,0.27118
1.0,1.0,0.0,0.0,2.02,1.39,1.206
0.0,1.0,0.0,0.0,2.023,3.69,0.22861
0.0,0.0,1.0,0.0,2.02,4.49,0.44
0.0,0.0,1.0,0.0,2.02,2.39,0.76
0.0,1.0,0.0,0.0,2.02,4.49,0.72743
0.0,0.0,1.0,0.0,2.017,1.69,0.62
0.0,1.0,0.0,0.0,2.02,2.29,0.45
0.0,1.0,0.0,0.0,2.018,3.299,0.7
0.0,0.0,1.0,0.0,2.018,4.399,0.415
0.0,1.0,0.0,0.0,2.022,1.89,0.35452
0.0,1.0,0.0,0.0,2.015,3.59,0.453
0.0,1.0,0.0,0.0,2.017,1.89,0.61984
0.0,0.0,1.0,0.0,2.019,2.99,0.61928
0.0,1.0,0.0,0.0,2.021,3.49,0.427
0.0,1.0,0.0,0.0,2.022,1.39,0.316
0.0,1.0,0.0,0.0,2.018,2.999,0.537
0.0,1.0,0.0,0.0,2.018,1.79,0.30222
0.0,0.0,1.0,0.0,2.023,2.2,0.25303
0.0,0.0,1.0,0.0,2.025,2.89,0.205
0.0,0.0,0.0,1.0,2.021,1.69,0.615
1.0,0.0,0.0,1.0,2.022,2.29,0.343
0.0,0.0,1.0,0.0,2.021,2.79,0.63282
